'5.6_millimetres' | structural violation
'u.s_army_platoon' -> 'u.s_military_organization' -> government_military_organization -> military_organization -> military_agent | semantic abstraction jump
'u.s_army_platoon' -> 'u.s_military_organization' -> government_military_organization -> military_organization -> military_agent -> military_object | semantic abstraction jump
'u.s_army_platoon' -> platoon -> bpvi_military_unit | edge semantic failure
'u.s_army_platoon' -> platoon -> platoon_sized_unit -> modern_military_organization | edge semantic failure
'u.s_army_platoon' -> platoon -> platoon_sized_unit -> modern_military_organization -> military_organization | edge semantic failure
'u.s_army_platoon' -> platoon -> platoon_sized_unit -> modern_military_organization -> military_organization -> military_agent | edge semantic failure
'u.s_army_platoon' -> platoon -> platoon_sized_unit -> modern_military_organization -> military_organization -> military_agent -> military_object | edge semantic failure
'u.s_army_platoon' -> platoon -> modern_military_organization -> military_organization | semantic abstraction jump
'u.s_army_platoon' -> platoon -> modern_military_organization -> military_organization -> military_agent | semantic abstraction jump
'u.s_army_platoon' -> platoon -> modern_military_organization -> military_organization -> military_agent -> military_object | semantic abstraction jump
'u.s_army_platoon' -> platoon -> bpvi_military_unit | edge semantic failure
platoon -> platoon_sized_unit -> modern_military_organization | edge semantic failure
platoon -> platoon_sized_unit -> modern_military_organization -> military_organization | edge semantic failure
platoon -> platoon_sized_unit -> modern_military_organization -> military_organization -> military_agent | edge semantic failure
platoon -> modern_military_organization -> military_organization | semantic abstraction jump
platoon -> modern_military_organization -> military_organization -> military_agent | semantic abstraction jump
'u.s_army_squad' -> 'u.s_military_organization' -> modern_military_organization -> military_organization | semantic abstraction jump
'u.s_army_squad' -> 'u.s_military_organization' -> modern_military_organization -> military_organization -> military_agent | semantic abstraction jump
'u.s_army_squad' -> 'u.s_military_organization' -> modern_military_organization -> military_organization -> military_agent -> military_object | semantic abstraction jump
'u.s_army_squad' -> squad -> modern_military_organization | edge semantic failure
'u.s_army_squad' -> squad -> squad_sized_unit -> modern_military_organization | edge semantic failure
'u.s_army_squad' -> squad -> squad_sized_unit -> modern_military_organization -> military_organization | edge semantic failure
'u.s_army_squad' -> squad -> squad_sized_unit -> modern_military_organization -> military_organization -> military_agent | edge semantic failure
'u.s_army_squad' -> squad -> squad_sized_unit -> modern_military_organization -> military_organization -> military_agent -> military_object | edge semantic failure
'u.s_army_squad' -> squad -> modern_military_organization -> military_organization | edge semantic failure
'u.s_army_squad' -> squad -> modern_military_organization -> military_organization -> military_agent | edge semantic failure
'u.s_army_squad' -> squad -> modern_military_organization -> military_organization -> military_agent -> military_object | edge semantic failure
military_officer -> serviceman -> skilled_worker | edge semantic failure
military_officer -> serviceman -> skilled_worker -> worker | edge semantic failure
military_officer -> military_person -> national_government_employee | edge semantic failure
military_officer -> military_person -> national_government_employee -> government_worker | edge semantic failure
military_officer -> military_person -> national_government_employee -> government_worker -> public_sector_worker | edge semantic failure
military_officer -> military_person -> national_government_employee -> government_worker -> public_sector_worker -> employee | edge semantic failure
military_officer -> military_person -> national_government_employee -> government_worker -> public_sector_worker -> employee -> worker | edge semantic failure
'u.s_attorney_general' -> attorney_general -> cabinet_officer -> governmental_administration_official | semantic abstraction jump
federal_employee -> national_government_employee -> government_worker -> public_sector_worker -> employee | semantic abstraction jump
federal_employee -> national_government_employee -> government_worker -> public_sector_worker -> employee -> worker | semantic abstraction jump
'u.s_business' -> business -> commercial_organization -> business_related_thing | edge semantic failure
'u.s_business' -> business -> commercial_organization -> business_related_thing | edge semantic failure
business -> organization -> activity | edge semantic failure
business -> organization -> administration -> commercial_organization | semantic abstraction jump
business -> organization -> administration -> management | semantic abstraction jump
business -> organization -> administration -> commercial_organization -> business_related_thing | edge semantic failure
business -> organization -> administration -> commercial_organization -> business_related_thing | edge semantic failure
business -> enterprise -> organization -> activity | edge semantic failure
business -> enterprise -> organization -> administration -> commercial_organization | semantic abstraction jump
business -> enterprise -> organization -> administration -> management | semantic abstraction jump
business -> enterprise -> organization -> administration -> commercial_organization -> business_related_thing | edge semantic failure
business -> enterprise -> organization -> administration -> commercial_organization -> business_related_thing | edge semantic failure
business -> commercial_organization -> business_related_thing | edge semantic failure
business -> commercial_organization -> organization -> activity | edge semantic failure
business -> commercial_organization -> organization -> administration -> management | semantic abstraction jump
business -> commercial_organization -> business_related_thing | edge semantic failure
business -> business_activity -> enterprise -> organization -> activity | edge semantic failure
business -> business_activity -> enterprise -> organization -> administration -> commercial_organization | semantic abstraction jump
business -> business_activity -> enterprise -> organization -> administration -> management | semantic abstraction jump
business -> business_activity -> enterprise -> organization -> administration -> commercial_organization -> business_related_thing | edge semantic failure
unnatural_thing | structural violation
city -> town -> municipality -> populated_area | edge semantic failure
city -> town -> municipality -> state | edge semantic failure
city -> town -> municipality -> urban_area | semantic abstraction jump
city -> town -> municipality -> state -> administrative_district | edge semantic failure
city -> town -> municipality -> state -> administrative_district -> district | edge semantic failure
city -> town -> municipality -> administrative_district -> district | semantic abstraction jump
city -> town -> municipality -> administrative_district -> district -> state | semantic abstraction jump
city -> municipality -> populated_area | edge semantic failure
city -> municipality -> state | edge semantic failure
city -> municipality -> urban_area | semantic abstraction jump
city -> municipality -> state -> administrative_district | edge semantic failure
city -> municipality -> state -> administrative_district -> district | edge semantic failure
city -> municipality -> administrative_district -> district | semantic abstraction jump
city -> municipality -> administrative_district -> district -> state | semantic abstraction jump
city -> administrative_district -> district | semantic abstraction jump
city -> administrative_district -> district -> state | semantic abstraction jump
coin -> money -> another_word_for_currency | edge semantic failure
coin -> money -> coins | semantic abstraction jump
coin -> money -> currency | semantic abstraction jump
coin -> money -> coins -> in_mint_condition | semantic abstraction jump
coin -> money -> coins -> in_mint_condition | semantic abstraction jump
coin -> money -> another_word_for_currency | edge semantic failure
coin -> cash -> currency | semantic abstraction jump
coin -> cash -> paper_money -> currency | semantic abstraction jump
coin -> cash -> money -> another_word_for_currency | edge semantic failure
coin -> cash -> money -> coins | semantic abstraction jump
coin -> cash -> money -> currency | semantic abstraction jump
coin -> cash -> money -> coins -> in_mint_condition | semantic abstraction jump
coin -> cash -> money -> coins -> in_mint_condition | semantic abstraction jump
coin -> cash -> money -> another_word_for_currency | edge semantic failure
government_committee -> committee -> nongovernmental_organization | edge semantic failure
government_committee -> committee -> nongovernmental_organization -> organization | edge semantic failure
government_committee -> committee -> nongovernmental_organization -> organization -> administration | edge semantic failure
congressional_district -> district -> state -> administrative_district | semantic abstraction jump
silver -> unalloyed_metal -> metal | semantic abstraction jump
silver -> unalloyed_metal -> metal -> shiney | edge semantic failure
silver -> unalloyed_metal -> metal -> shiney | edge semantic failure
silver -> precious_metal -> metal -> shiney | edge semantic failure
silver -> precious_metal -> metal -> shiney | edge semantic failure
silver -> metal -> shiney | edge semantic failure
silver -> metal -> shiney | edge semantic failure
gold_coin -> coin -> cash -> currency | semantic abstraction jump
'u.s_hispanic' -> new_world_hispanic -> hispanic | semantic abstraction jump
american -> north_american -> person_with_nationality | edge semantic failure
'u.s_marine_division' -> 'u.s_military_organization' -> modern_military_organization -> military_organization | semantic abstraction jump
'u.s_marine_division' -> 'u.s_military_organization' -> government_military_organization -> military_organization | semantic abstraction jump
'u.s_marine_division' -> military_division -> modern_military_organization -> military_organization | semantic abstraction jump
'u.s_marine_division' -> marine_division -> military_division -> modern_military_organization -> military_organization | semantic abstraction jump
marine_division -> military_division -> modern_military_organization -> military_organization | semantic abstraction jump
marine_division -> military_division -> division_sized_unit -> modern_military_organization | edge semantic failure
marine_division -> military_division -> division_sized_unit -> modern_military_organization -> military_organization | edge semantic failure
military_division -> modern_military_organization -> military_organization | semantic abstraction jump
military_division -> modern_military_organization -> military_organization -> military_agent | semantic abstraction jump
military_division -> modern_military_organization -> military_organization -> military_agent -> military_object | semantic abstraction jump
military_division -> division_sized_unit -> modern_military_organization | edge semantic failure
military_division -> division_sized_unit -> modern_military_organization -> military_organization | edge semantic failure
military_division -> division_sized_unit -> modern_military_organization -> military_organization -> military_agent | edge semantic failure
military_division -> division_sized_unit -> modern_military_organization -> military_organization -> military_agent -> military_object | edge semantic failure
organization_member -> member -> associate | edge semantic failure
organization_member -> member -> unit -> organization | edge semantic failure
organization_member -> member -> unit -> organization -> administration | edge semantic failure
organization_member -> member -> unit -> organization -> social_group | edge semantic failure
organization_member -> member -> unit -> organization -> social_group -> group | edge semantic failure
organization_member -> member -> unit -> organization -> administration -> commercial_organization | edge semantic failure
organization_member -> member -> unit -> organization -> administration -> management | edge semantic failure
organization_member -> member -> associate -> subordinate | edge semantic failure
organization_member -> member -> associate -> subordinate -> colleague | edge semantic failure
organization_member -> member_of_organisation -> member -> associate | edge semantic failure
organization_member -> member_of_organisation -> member -> unit -> organization | edge semantic failure
organization_member -> member_of_organisation -> member -> unit -> organization -> administration | edge semantic failure
organization_member -> member_of_organisation -> member -> unit -> organization -> social_group | edge semantic failure
organization_member -> member_of_organisation -> member -> unit -> organization -> social_group -> group | edge semantic failure
organization_member -> member_of_organisation -> member -> unit -> organization -> administration -> commercial_organization | edge semantic failure
organization_member -> member_of_organisation -> member -> unit -> organization -> administration -> management | edge semantic failure
organization_member -> member_of_organisation -> member -> associate -> subordinate | edge semantic failure
organization_member -> member_of_organisation -> member -> associate -> subordinate -> colleague | edge semantic failure
government_military_organization -> executive_branch_of_government -> legal_government_organization | semantic abstraction jump
government_military_organization -> executive_branch_of_government -> legal_government_organization -> government_related_entity | semantic abstraction jump
government_military_organization -> executive_branch_of_government -> legal_government_organization -> governmental_organization | semantic abstraction jump
government_military_organization -> executive_branch_of_government -> legal_government_organization -> governmental_organization -> organization | semantic abstraction jump
government_military_organization -> executive_branch_of_government -> legal_government_organization -> governmental_organization -> organization -> administration | semantic abstraction jump
government_military_organization -> executive_branch_of_government -> legal_government_organization -> governmental_organization -> organization -> administration -> commercial_organization | semantic abstraction jump
government_military_organization -> executive_branch_of_government -> legal_government_organization -> government_related_entity | semantic abstraction jump
administered_ecological_region -> ecological_region -> environment -> geographical_area | edge semantic failure
administered_ecological_region -> ecological_region -> environment -> region | edge semantic failure
administered_ecological_region -> ecological_region -> environment -> geographical_area -> region | edge semantic failure
ecological_region_district -> administered_ecological_region -> ecological_region | semantic abstraction jump
ecological_region_district -> administered_ecological_region -> geographical_region_administered -> geographical_region_declared -> geographical_region | semantic abstraction jump
ecological_region_district -> administered_ecological_region -> geographical_region_administered -> geographical_region_declared -> geographical_region -> region | semantic abstraction jump
ecological_region_district -> administered_ecological_region -> ecological_region -> geographical_region | semantic abstraction jump
ecological_region_district -> administered_ecological_region -> ecological_region -> geographical_region -> region | semantic abstraction jump
usda_fs_administered_region -> administered_ecological_region -> geographical_region_administered | semantic abstraction jump
usda_fs_administered_region -> administered_ecological_region -> geographical_region_administered -> geographical_region_declared | semantic abstraction jump
usda_fs_administered_region -> administered_ecological_region -> geographical_region_administered -> geographical_region_declared -> geographical_region | semantic abstraction jump
usda_fs_administered_region -> administered_ecological_region -> geographical_region_administered -> geographical_region_declared -> geographical_region -> region | semantic abstraction jump
national_forest -> forest -> ecosystem | edge semantic failure
'u.s_navy_seal_team' -> 'u.s_military_organization' -> modern_military_organization -> military_organization | semantic abstraction jump
'u.s_navy_seal_team' -> 'u.s_military_organization' -> government_military_organization -> military_organization | semantic abstraction jump
special_forces_unit -> special_force -> military_organization | edge semantic failure
special_forces_unit -> special_force -> military_organization -> military_agent | edge semantic failure
special_forces_unit -> special_force -> military_organization -> military_agent -> military_object | edge semantic failure
special_forces_unit -> deployable_military_unit -> modern_military_organization | semantic abstraction jump
special_forces_unit -> deployable_military_unit -> modern_military_organization -> military_organization | semantic abstraction jump
special_forces_unit -> deployable_military_unit -> modern_military_organization -> military_organization -> military_agent | semantic abstraction jump
special_forces_unit -> deployable_military_unit -> modern_military_organization -> military_organization -> military_agent -> military_object | semantic abstraction jump
spring -> warm_season -> season | semantic abstraction jump
state -> administrative_district -> district -> region -> location | semantic abstraction jump
winter -> season -> weather | edge semantic failure
winter -> cold_season -> season -> weather | edge semantic failure
'abbreviation_of\'you' | structural violation
'father\'s_brother' | structural violation
'mother\'s_brother' | structural violation
'parent\'s_brother' | structural violation
under | structural violation
united_states_army_brigade -> brigade -> army_unit | semantic abstraction jump
united_states_army_brigade -> brigade -> modern_military_organization | edge semantic failure
united_states_army_brigade -> brigade -> modern_military_organization -> military_organization | edge semantic failure
united_states_army_brigade -> brigade -> modern_military_organization -> military_organization -> military_agent | edge semantic failure
united_states_army_brigade -> brigade -> modern_military_organization -> military_organization -> military_agent -> military_object | edge semantic failure
united_states_army_brigade -> brigade -> brigade_sized_unit -> modern_military_organization | edge semantic failure
united_states_army_brigade -> brigade -> brigade_sized_unit -> modern_military_organization -> military_organization | edge semantic failure
united_states_army_brigade -> brigade -> brigade_sized_unit -> modern_military_organization -> military_organization -> military_agent | edge semantic failure
united_states_army_brigade -> brigade -> brigade_sized_unit -> modern_military_organization -> military_organization -> military_agent -> military_object | edge semantic failure
united_states_army_brigade -> brigade -> army_unit -> military_unit | semantic abstraction jump
united_states_army_brigade -> 'u.s_military_organization' -> modern_military_organization -> military_organization | semantic abstraction jump
united_states_army_brigade -> 'u.s_military_organization' -> modern_military_organization -> military_organization -> military_agent | semantic abstraction jump
united_states_army_brigade -> 'u.s_military_organization' -> modern_military_organization -> military_organization -> military_agent -> military_object | semantic abstraction jump
united_states_army_brigade -> 'u.s_military_organization' -> government_military_organization -> military_organization | semantic abstraction jump
united_states_army_brigade -> 'u.s_military_organization' -> government_military_organization -> military_organization -> military_agent | semantic abstraction jump
united_states_army_brigade -> 'u.s_military_organization' -> government_military_organization -> military_organization -> military_agent -> military_object | semantic abstraction jump
us_army_staff_organization -> staff_organization -> modern_military_organization -> military_organization | semantic abstraction jump
us_army_staff_organization -> staff_organization -> modern_military_organization -> military_organization -> military_agent | semantic abstraction jump
us_army_staff_organization -> staff_organization -> modern_military_organization -> military_organization -> organization | semantic abstraction jump
us_army_staff_organization -> staff_organization -> modern_military_organization -> military_organization -> organization -> administration | semantic abstraction jump
us_army_staff_organization -> staff_organization -> modern_military_organization -> military_organization -> military_agent -> military_object | semantic abstraction jump
us_army_staff_organization -> 'u.s_military_organization' -> modern_military_organization -> military_organization | semantic abstraction jump
us_army_staff_organization -> 'u.s_military_organization' -> modern_military_organization -> military_organization -> military_agent | semantic abstraction jump
us_army_staff_organization -> 'u.s_military_organization' -> modern_military_organization -> military_organization -> organization | semantic abstraction jump
us_army_staff_organization -> 'u.s_military_organization' -> modern_military_organization -> military_organization -> organization -> administration | semantic abstraction jump
us_army_staff_organization -> 'u.s_military_organization' -> modern_military_organization -> military_organization -> military_agent -> military_object | semantic abstraction jump
us_army_staff_organization -> 'u.s_military_organization' -> government_military_organization -> military_organization | semantic abstraction jump
us_army_staff_organization -> 'u.s_military_organization' -> government_military_organization -> military_organization -> military_agent | semantic abstraction jump
us_army_staff_organization -> 'u.s_military_organization' -> government_military_organization -> military_organization -> organization | semantic abstraction jump
us_army_staff_organization -> 'u.s_military_organization' -> government_military_organization -> military_organization -> organization -> administration | semantic abstraction jump
us_army_staff_organization -> 'u.s_military_organization' -> government_military_organization -> military_organization -> military_agent -> military_object | semantic abstraction jump
us_county -> county -> administrative_district -> district -> state | semantic abstraction jump
us_navy_personnel -> 'u.s_military_personnel' -> organization_member | edge semantic failure
usa -> country -> region -> location | semantic abstraction jump
usa -> country -> region -> state | semantic abstraction jump
usa -> country -> region -> state -> government | semantic abstraction jump
'110_volt_country' | structural violation
using_reason | structural violation
'valentine\'s_day_card' -> secular_holiday_card -> greeting_card | semantic abstraction jump
'valentine\'s_day_card' -> secular_holiday_card -> greeting_card -> card | semantic abstraction jump
'valentine\'s_day' -> gregorian_calendar_holiday -> holiday | semantic abstraction jump
'valentine\'s_day' -> gregorian_calendar_holiday -> holiday -> day | semantic abstraction jump
'valentine\'s_day' -> gregorian_calendar_holiday -> holiday -> special_day | semantic abstraction jump
'valentine\'s_day' -> gregorian_calendar_holiday -> holiday -> special_day | semantic abstraction jump
'valentine\'s_day' -> gregorian_calendar_holiday -> holiday -> day -> calendar_day | semantic abstraction jump
romantic_holiday | structural violation
glass_sponge -> sponge -> opaque_thing | edge semantic failure
'jill\'s_dog' | structural violation
wait_tables | structural violation
'fish_people_catch_when_they\'re_fishing' | structural violation
'woman\'s_job' | structural violation
'washing_one\'s_hands' -> personal_washing -> washing_in_fresh_water -> washing_in_water | semantic abstraction jump
'washing_one\'s_hands' -> personal_washing -> washing_in_fresh_water -> washing_in_water -> washing | semantic abstraction jump
'washing_one\'s_hands' -> personal_washing -> washing_in_fresh_water -> washing_in_water -> washing -> cleaning | semantic abstraction jump
'washing_one\'s_hands' -> personal_washing -> washing_in_fresh_water -> washing_in_water -> washing -> laundry | semantic abstraction jump
personal_washing -> washing_in_fresh_water -> washing_in_water -> washing | semantic abstraction jump
personal_washing -> washing_in_fresh_water -> washing_in_water -> washing -> cleaning | semantic abstraction jump
personal_washing -> washing_in_fresh_water -> washing_in_water -> washing -> laundry | semantic abstraction jump
personal_washing -> washing_in_fresh_water -> washing_in_water -> washing -> laundry -> clothing | semantic abstraction jump
personal_washing -> washing_in_fresh_water -> washing_in_water -> washing -> laundry -> garment | semantic abstraction jump
personal_washing -> washing_in_fresh_water -> washing_in_water -> washing -> laundry -> garment -> clothing | semantic abstraction jump
watermelon -> melon -> edible_fruit | edge semantic failure
watermelon -> melon -> edible_fruit -> fruit | edge semantic failure
'92_water' | structural violation
webbed_foot -> 'bird\'s_foot' -> animal_foot | semantic abstraction jump
webbed_foot -> 'bird\'s_foot' -> animal_foot -> vertebrate_foot | semantic abstraction jump
'www.litton_ps.com' | structural violation
reputable_source | structural violation
'wehrle\'s_salamander' -> woodland_salamander -> lungless_salamander -> salamander | semantic abstraction jump
woodland_salamander -> lungless_salamander -> salamander | semantic abstraction jump
woodland_salamander -> lungless_salamander -> salamander -> amphibian | semantic abstraction jump
'welder\'s_mask' -> protective_mask -> mask | semantic abstraction jump
protective_mask -> protective_garment -> protective_covering | semantic abstraction jump
protective_mask -> protective_garment -> protective_covering -> body_covering | semantic abstraction jump
protective_mask -> protective_garment -> protective_covering -> covering | semantic abstraction jump
protective_mask -> protective_garment -> protective_covering -> covering -> actively_protecting | edge semantic failure
protective_mask -> protective_garment -> protective_covering -> covering -> protection | semantic abstraction jump
protective_mask -> protective_garment -> protective_covering -> covering -> actively_protecting -> safeguard | edge semantic failure
protective_mask -> protective_garment -> protective_covering -> covering -> actively_protecting -> safeguard -> protecting | edge semantic failure
protective_mask -> protective_garment -> protective_covering -> body_covering -> covering | semantic abstraction jump
protective_mask -> protective_garment -> protective_covering -> body_covering -> covering -> actively_protecting | edge semantic failure
protective_mask -> protective_garment -> protective_covering -> body_covering -> covering -> protection | semantic abstraction jump
protective_mask -> protective_garment -> protective_covering -> body_covering -> covering -> actively_protecting -> safeguard | edge semantic failure
protective_mask -> mask -> protective_covering | edge semantic failure
protective_mask -> mask -> protective_covering -> body_covering | edge semantic failure
protective_mask -> mask -> protective_covering -> covering | edge semantic failure
protective_mask -> mask -> protective_covering -> covering -> actively_protecting | edge semantic failure
protective_mask -> mask -> protective_covering -> covering -> protection | edge semantic failure
protective_mask -> mask -> protective_covering -> covering -> actively_protecting -> safeguard | edge semantic failure
protective_mask -> mask -> protective_covering -> covering -> actively_protecting -> safeguard -> protecting | edge semantic failure
protective_mask -> mask -> protective_covering -> body_covering -> covering | edge semantic failure
protective_mask -> mask -> protective_covering -> body_covering -> covering -> actively_protecting | edge semantic failure
protective_mask -> mask -> protective_covering -> body_covering -> covering -> protection | edge semantic failure
protective_mask -> mask -> protective_covering -> body_covering -> covering -> actively_protecting -> safeguard | edge semantic failure
protective_mask -> mask -> covering -> actively_protecting | edge semantic failure
protective_mask -> mask -> covering -> protection | semantic abstraction jump
protective_mask -> mask -> covering -> actively_protecting -> safeguard | edge semantic failure
protective_mask -> mask -> covering -> actively_protecting -> safeguard -> protecting | edge semantic failure
'n\'t_fish' | structural violation
wheat -> grass -> gramineous_plant | edge semantic failure
wheat -> grass -> plant_product | edge semantic failure
wheat -> grass -> plant_product -> plant_material | edge semantic failure
wheat -> grain -> cereal | semantic abstraction jump
wheat -> grain -> foodstuff | edge semantic failure
wheat -> grain -> foodstuff -> food | edge semantic failure
wheat -> grain -> foodstuff -> food -> grocery | edge semantic failure
wheat -> grain -> cereal -> breakfast_food | semantic abstraction jump
wheat -> grain -> cereal -> food | semantic abstraction jump
wheat -> grain -> cereal -> grass | semantic abstraction jump
wheat -> grain -> cereal -> plant_product | edge semantic failure
wheat -> grain -> cereal -> plant | edge semantic failure
wheat -> grain -> cereal -> plant_product -> plant_material | edge semantic failure
wheat -> grain -> cereal -> grass -> gramineous_plant | edge semantic failure
wheat -> grain -> cereal -> grass -> grass_family | semantic abstraction jump
wheat -> grain -> cereal -> grass -> plant_product | edge semantic failure
wheat -> grain -> cereal -> grass -> plant | semantic abstraction jump
wheat -> grain -> cereal -> grass -> plant_product -> plant_material | edge semantic failure
wheat -> grain -> cereal -> food -> grocery | semantic abstraction jump
wheat -> grain -> cereal -> breakfast_food -> food | semantic abstraction jump
wheat -> grain -> cereal -> breakfast_food -> food -> grocery | semantic abstraction jump
wheat -> cereal -> plant_product | edge semantic failure
wheat -> cereal -> plant | edge semantic failure
wheat -> cereal -> plant_product -> plant_material | edge semantic failure
wheat -> cereal -> grass -> gramineous_plant | edge semantic failure
wheat -> cereal -> grass -> plant_product | edge semantic failure
wheat -> cereal -> grass -> plant_product -> plant_material | edge semantic failure
'australia\'s_principal_crop' | structural violation
'broken_it\'s_very_difficult_to_regain' | structural violation
'in_washington_d.c' | structural violation
'18th_century_scottish_engineer' | structural violation
tree -> wood -> dead_trees | semantic abstraction jump
tree -> wood -> dead_trees | semantic abstraction jump
'v_shaped_bird\'s_breastbone' | structural violation
corps -> modern_military_organization -> military_organization | semantic abstraction jump
corps -> modern_military_organization -> military_organization -> organization | semantic abstraction jump
corps -> army_unit -> military_unit -> unit -> organization | edge semantic failure
'women\'s_athletic_clothing' -> athletic_clothing -> clothing_item -> clothing | semantic abstraction jump
'women\'s_backpack' -> handbag -> bag_used_by_women | semantic abstraction jump
'women\'s_backpack' -> handbag -> purse -> small_bag_carried_bgy_women | edge semantic failure
'women\'s_backpack' -> handbag -> purse -> small_bag_carried_bgy_women | edge semantic failure
handbag -> purse -> small_bag_carried_bgy_women | edge semantic failure
handbag -> purse -> small_bag_carried_bgy_women | edge semantic failure
'women\'s_clothing_accessory' -> 'women\'s_clothing' -> clothing -> wearable_item -> clothing_market_category | edge semantic failure
'women\'s_clothing_accessory' -> accessory -> clothing_item | semantic abstraction jump
'women\'s_clothing_accessory' -> accessory -> clothing | edge semantic failure
'women\'s_clothing_accessory' -> accessory -> clothing -> wearable_item | edge semantic failure
'women\'s_clothing_accessory' -> accessory -> clothing -> wearable_item -> clothing_market_category | edge semantic failure
'women\'s_clothing_accessory' -> accessory -> clothing_item -> clothing | semantic abstraction jump
'women\'s_clothing_accessory' -> accessory -> clothing_item -> clothing -> wearable_item | semantic abstraction jump
'women\'s_clothing_accessory' -> accessory -> clothing_item -> clothing -> wearable_item -> clothing_market_category | edge semantic failure
'women\'s_dress_boot' -> 'women\'s_shoe' -> shoe -> footwear | semantic abstraction jump
'women\'s_dress_boot' -> boot -> footwear | edge semantic failure
'women\'s_dress_boot' -> boot -> shoe -> footwear | semantic abstraction jump
clothing_item -> clothing -> wearable_item -> clothing_market_category | edge semantic failure
clothing_item -> clothing -> wearable_item -> clothing_market_category -> goods | edge semantic failure
sports_event -> sports_competition -> organized_event | edge semantic failure
sports_event -> sports_competition -> competition -> organized_event | edge semantic failure
sports_event -> sports_competition -> competition -> physical_event | edge semantic failure
sports_event -> sports_competition -> competition -> physical_event -> localized_event | edge semantic failure
sports_event -> sports_competition -> competition -> physical_event -> localized_event -> event | edge semantic failure
'women\'s_room' -> waiting_room -> room | semantic abstraction jump
'women\'s_room' -> waiting_room -> room -> place_to_accommodate_people | semantic abstraction jump
'women\'s_room' -> waiting_room -> room -> place_to_accommodate_people | semantic abstraction jump
attire -> clothing -> wearable_item -> clothing_market_category | edge semantic failure
swimwear -> clothing -> wearable_item -> clothing_market_category | edge semantic failure
tennis_tournament -> tournament -> contest -> competition | semantic abstraction jump
'women\'s_tournament' -> ncaa_tournament -> basketball_tournament -> tournament | semantic abstraction jump
'women\'s_tournament' -> ncaa_tournament -> basketball_tournament -> tournament -> competition | semantic abstraction jump
'women\'s_tournament' -> ncaa_tournament -> basketball_tournament -> tournament -> group_of_competitions | semantic abstraction jump
championship -> contest -> competition | semantic abstraction jump
'women\'s_vitamin' -> multivitamin -> vitamin | semantic abstraction jump
'women\'s_vitamin' -> multivitamin -> vitamin -> fat_soluble_vitamin | semantic abstraction jump
clothing_shop_space -> store -> indoor_space | edge semantic failure
in_indonesia | structural violation
in_japan | structural violation
about_369_feet_high | structural violation
rising_unusually_fast | structural violation
'1008_pounds' | structural violation
romanowsky_stain | structural violation
occupational_neurosis | structural violation
year -> week -> date | semantic abstraction jump
year -> week -> time_period | edge semantic failure
year -> week -> date -> calendar_month | semantic abstraction jump
year -> week -> date -> calendar_year | semantic abstraction jump
year -> week -> date -> calendar_month -> time_period | edge semantic failure
year -> month -> date -> calendar_year | semantic abstraction jump
year -> month -> date -> calendar_month -> time_period | edge semantic failure
year -> decade -> date | edge semantic failure
year -> decade -> date -> calendar_month | edge semantic failure
year -> decade -> date -> calendar_year | edge semantic failure
year -> decade -> date -> calendar_month -> time_period | edge semantic failure
year -> date -> calendar_year | semantic abstraction jump
year -> date -> calendar_month -> time_period | edge semantic failure
'365_1_4_days_long' | structural violation
'365_days' | structural violation
'children\'s_toy' | structural violation
'young_men\'s_dress_pants' -> dress_pants -> long_pants -> pair_of_pants -> clothing_bottom -> garment | semantic abstraction jump
'young_men\'s_dress_pants' -> dress_pants -> long_pants -> pair_of_pants -> clothing_bottom -> garment -> clothing | semantic abstraction jump
'young_men\'s_dress_pants' -> dress_pants -> long_pants -> pair_of_pants -> clothing_bottom -> garment -> item_of_clothing | semantic abstraction jump
'young_men\'s_jacket' -> 'young_men\'s_outerwear' -> 'young_men\'s_clothing' | semantic abstraction jump
'young_men\'s_jacket' -> 'young_men\'s_outerwear' -> 'young_men\'s_clothing' -> 'men\'s_clothing' | semantic abstraction jump
sweater -> warm_clothes -> clothing | semantic abstraction jump
sweater -> warm_clothes -> clothing -> wearable_item | semantic abstraction jump
'young_men\'s_t_shirt' -> t_shirt -> short_sleeve_shirt -> shirt | semantic abstraction jump
'young_men\'s_t_shirt' -> t_shirt -> short_sleeve_shirt -> shirt -> article_of_clothing | semantic abstraction jump
'young_men\'s_t_shirt' -> t_shirt -> short_sleeve_shirt -> shirt -> garment | semantic abstraction jump
'young_men\'s_t_shirt' -> t_shirt -> short_sleeve_shirt -> shirt -> garment -> clothing | semantic abstraction jump
'young_men\'s_t_shirt' -> t_shirt -> short_sleeve_shirt -> shirt -> article_of_clothing | semantic abstraction jump
'young_men\'s_vest' -> 'young_men\'s_outerwear' -> 'young_men\'s_clothing' | semantic abstraction jump
'young_men\'s_vest' -> 'young_men\'s_outerwear' -> 'young_men\'s_clothing' -> 'men\'s_clothing' | semantic abstraction jump
'mother\'s_country_of_origin' | structural violation
'one_space_ghost\'s_enemy' | structural violation
'space_ghost\'s_enemy' | structural violation
set_containing_one_element | structural violation
carbon_steel -> steel -> metals_mining -> materials | edge semantic failure
high_carbon_steel | structural violation
iron_compound | structural violation
steel -> metals_mining -> materials | edge semantic failure
steel -> alloy -> metal | semantic abstraction jump
steel -> alloy -> metal -> hard_substance | semantic abstraction jump
steel -> alloy -> metal -> hard_substance | semantic abstraction jump
higher_number_than_9 | structural violation
number -> numeric_value -> quantity | edge semantic failure
